Yr,Loc,Env,Plot,Trt,Rep,Cult,0,1,2,3,TotalSymptomatic,Total Plants ,DI%,DS,DIX,Yieldbushels,Yieldkg
2018,Nashua,5,405,5,4,1212R2X,30,0,0,0,0,30,0,0,0,63.17,4248.36
2018,Owatonna,6,101,2,1,LS1172LLN,30,0,0,0,0,30,0,0,0,58.7,3947.52
2018,Owatonna,6,102,3,1,3115L,30,0,0,0,0,30,0,0,0,58.84,3957.21
2018,Owatonna,6,103,1,1,LS23X632N,28,0,1,1,2,30,6.67,2.5,5.56,76.72,5159.25
2018,Owatonna,6,104,5,1,1212R2X,30,0,0,0,0,30,0,0,0,79.02,5313.88
2018,Owatonna,6,105,4,1,WS16-9138,30,0,0,0,0,30,0,0,0,47.95,3224.51
2018,Owatonna,6,201,3,2,3115L,30,0,0,0,0,30,0,0,0,77.22,5192.82
2018,Owatonna,6,202,2,2,LS1172LLN,30,0,0,0,0,30,0,0,0,68.38,4598.41
2018,Owatonna,6,203,5,2,1212R2X,28,0,0,2,2,30,6.67,3,6.67,68.76,4624.31
2018,Owatonna,6,204,4,2,WS16-9138,30,0,0,0,0,30,0,0,0,52.18,3509.07
2018,Owatonna,6,205,1,2,LS23X632N,30,0,0,0,0,30,0,0,0,66.19,4451.14
2018,Owatonna,6,301,5,3,1212R2X,27,0,1,2,3,30,10,2.67,8.89,71.46,4805.4
2018,Owatonna,6,302,1,3,LS23X632N,30,0,0,0,0,30,0,0,0,70.8,4761.08
2018,Owatonna,6,303,3,3,3115L,30,0,0,0,0,30,0,0,0,73.83,4965.34
2018,Owatonna,6,304,2,3,LS1172LLN,30,0,0,0,0,30,0,0,0,70.78,4760.09
2018,Owatonna,6,305,4,3,WS16-9138,30,0,0,0,0,30,0,0,0,48.7,3275.03
2018,Owatonna,6,401,2,4,LS1172LLN,30,0,0,0,0,30,0,0,0,67.97,4570.66
2018,Owatonna,6,402,4,4,WS16-9138,30,0,0,0,0,30,0,0,0,57.12,3841.51
2018,Owatonna,6,403,3,4,3115L,30,0,0,0,0,30,0,0,0,77.15,5188.2
2018,Owatonna,6,404,1,4,LS23X632N,30,0,0,0,0,30,0,0,0,74.71,5024.1
2018,Owatonna,6,405,5,4,1212R2X,30,0,0,0,0,30,0,0,0,70.3,4727.65
2018,Stewertville,7,101,2,1,LS1172LLN,30,0,0,0,0,30,0,0,0,46.9,3153.94
2018,Stewertville,7,102,3,1,3115L,30,0,0,0,0,30,0,0,0,54.4,3658.13
2018,Stewertville,7,103,1,1,LS23X632N,30,0,0,0,0,30,0,0,0,50.68,3408.31
2018,Stewertville,7,104,5,1,1212R2X,30,0,0,0,0,30,0,0,0,50.33,3384.58
2018,Stewertville,7,105,4,1,WS16-9138,30,0,0,0,0,30,0,0,0,35.69,2400.25
2018,Stewertville,7,201,3,2,3115L,30,0,0,0,0,30,0,0,0,54.61,3672.82
2018,Stewertville,7,202,2,2,LS1172LLN,30,0,0,0,0,30,0,0,0,44.6,2999.51
2018,Stewertville,7,203,5,2,1212R2X,27,0,3,0,3,30,10,2,6.67,53.4,3591.27
2018,Stewertville,7,204,4,2,WS16-9138,30,0,0,0,0,30,0,0,0,30.27,2035.42
2018,Stewertville,7,205,1,2,LS23X632N,30,0,0,0,0,30,0,0,0,43.32,2913.38
2018,Stewertville,7,301,5,3,1212R2X,28,0,2,0,2,30,6.67,2,4.44,53.45,3594.73
2018,Stewertville,7,302,1,3,LS23X632N,30,0,0,0,0,30,0,0,0,51.45,3459.8
2018,Stewertville,7,303,3,3,3115L,30,0,0,0,0,30,0,0,0,47.84,3217.46
2018,Stewertville,7,304,2,3,LS1172LLN,30,0,0,0,0,30,0,0,0,49.26,3312.63
2018,Stewertville,7,305,4,3,WS16-9138,30,0,0,0,0,30,0,0,0,31.63,2127.43
2018,Stewertville,7,401,2,4,LS1172LLN,30,0,0,0,0,30,0,0,0,45.9,3086.54
2018,Stewertville,7,402,4,4,WS16-9138,30,0,0,0,0,30,0,0,0,35.38,2379.58
2018,Stewertville,7,403,3,4,3115L,30,0,0,0,0,30,0,0,0,53.51,3598.34
2018,Stewertville,7,404,1,4,LS23X632N,30,0,0,0,0,30,0,0,0,49.87,3353.89
2018,Stewertville,7,405,5,4,1212R2X,29,1,0,0,1,30,3.33,1,1.11,51.93,3492.51
2019,Kanawha,9,101,2,1,LS1172LLN,30,0,0,0,0,30,0,0,0,53.17,3575.54
2019,Kanawha,9,102,4,1,WS16-9138,30,0,0,0,0,30,0,0,0,38.13,2564.3
2019,Kanawha,9,103,5,1,1212R2X,30,0,0,0,0,30,0,0,0,69.3,4660.26
2019,Kanawha,9,104,3,1,3115L,30,0,0,0,0,30,0,0,0,64.8,4357.55
2019,Kanawha,9,105,1,1,LS23X632N,30,0,0,0,0,30,0,0,0,13.2,887.95
2019,Kanawha,9,201,3,2,3115L,30,0,0,0,0,30,0,0,0,66.04,4441.51
2019,Kanawha,9,202,2,2,LS1172LLN,30,0,0,0,0,30,0,0,0,40.44,2719.84
2019,Kanawha,9,203,5,2,1212R2X,30,0,0,0,0,30,0,0,0,65.43,4400.03
2019,Kanawha,9,204,4,2,WS16-9138,30,0,0,0,0,30,0,0,0,42.1,2830.93
2019,Kanawha,9,205,1,2,LS23X632N,30,0,0,0,0,30,0,0,0,27.08,1821.23
2019,Kanawha,9,301,3,3,3115L,30,0,0,0,0,30,0,0,0,68.03,4574.89
2019,Kanawha,9,302,1,3,LS23X632N,30,0,0,0,0,30,0,0,0,3.63,243.98
2019,Kanawha,9,303,5,3,1212R2X,28,0,0,2,2,30,6.67,3,6.67,71.97,4839.68
2019,Kanawha,9,304,4,3,WS16-9138,30,0,0,0,0,30,0,0,0,46.14,3102.96
2019,Kanawha,9,305,2,3,LS1172LLN,30,0,0,0,0,30,0,0,0,40.94,2753.31
2019,Kanawha,9,401,1,4,LS23X632N,30,0,0,0,0,30,0,0,0,7,470.51
2019,Kanawha,9,402,3,4,3115L,30,0,0,0,0,30,0,0,0,59.4,3994.79
2019,Kanawha,9,403,5,4,1212R2X,27,0,0,3,3,30,10,3,10,61.26,4120.02
2019,Kanawha,9,404,2,4,LS1172LLN,30,0,0,0,0,30,0,0,0,44.22,2974.1
2019,Kanawha,9,405,4,4,WS16-9138,30,0,0,0,0,30,0,0,0,45.54,3062.4
2019,Lewiston,10,101,1,1,LS23X632N,29,0,0,1,1,125,0.8,3,0.8,65.19,4383.73
2019,Lewiston,10,102,2,1,LS1172LLN,29,0,0,1,1,302,0.33,3,0.33,74.38,5001.77
2019,Lewiston,10,103,3,1,3115L,27,2,0,1,3,301,1,1.67,0.55,78.63,5287.59
2019,Lewiston,10,104,4,1,WS16-9138,30,0,0,0,0,219,0,0,0,45.46,3057.5
2019,Lewiston,10,105,5,1,1212R2X,28,0,0,2,2,211,0.95,3,0.95,75.95,5107.54
2019,Lewiston,10,201,4,2,WS16-9138,29,1,0,0,1,273,0.37,1,0.12,46.05,3096.56
2019,Lewiston,10,202,1,2,LS23X632N,30,0,0,0,0,77,0,0,0,60.78,4087.65
2019,Lewiston,10,203,3,2,3115L,27,2,1,0,3,307,0.98,1.33,0.43,78.57,5284.16
2019,Lewiston,10,204,5,2,1212R2X,8,3,0,19,22,221,9.95,2.73,9.05,66.99,4505.01
2019,Lewiston,10,205,2,2,LS1172LLN,23,5,0,2,7,273,2.56,1.57,1.34,71.63,4817.35
2019,Lewiston,10,301,3,3,3115L,26,3,0,1,4,257,1.56,1.5,0.78,75.29,5063.43
2019,Lewiston,10,302,4,3,WS16-9138,29,0,1,0,1,212,0.47,2,0.31,48.36,3252.16
2019,Lewiston,10,303,2,3,LS1172LLN,28,1,0,1,2,242,0.83,2,0.55,71.83,4830.26
2019,Lewiston,10,304,5,3,1212R2X,8,3,0,19,22,243,9.05,2.73,8.23,63.01,4237.21
2019,Lewiston,10,305,1,3,LS23X632N,30,0,0,0,0,86,0,0,0,56.65,3809.78
2019,Lewiston,10,401,4,4,WS16-9138,24,2,0,4,6,209,2.87,2.33,2.23,46.96,3158.21
2019,Lewiston,10,402,1,4,LS23X632N,28,1,0,1,2,73,2.74,2,1.83,53.1,3571.06
2019,Lewiston,10,403,5,4,1212R2X,27,0,0,3,3,217,1.38,3,1.38,76.18,5123.25
2019,Lewiston,10,404,3,4,3115L,26,2,0,2,4,213,1.88,2,1.25,65.23,4387.04
2019,Lewiston,10,405,2,4,LS1172LLN,25,2,0,3,5,265,1.89,2.2,1.38,73.83,4965.24
2019,Michigan ,11,.,5,2,1212R2X,22,1,3,4,8,30,26.67,2.38,21.11,72.44,4871.58
2019,Michigan ,11,.,5,4,1212R2X,0,3,4,23,30,30,100,2.67,88.89,32.65,2195.85
2019,Michigan ,11,.,5,3,1212R2X,29,0,0,1,1,30,3.33,3,3.33,76.04,5113.44
2019,Michigan ,11,.,5,1,1212R2X,30,0,0,0,0,30,0,0,0,65.42,4399.5
2019,Michigan ,11,.,2,2,LS1172LLN,23,4,1,2,7,30,23.33,1.71,13.33,65.69,4417.37
2019,Michigan ,11,.,2,4,LS1172LLN,12,2,7,9,18,30,60,2.39,47.78,60.7,4082.03
2019,Michigan ,11,.,2,1,LS1172LLN,30,0,0,0,0,30,0,0,0,58.73,3949.45
2019,Michigan ,11,.,2,3,LS1172LLN,30,0,0,0,0,30,0,0,0,69.68,4685.93
2019,Michigan ,11,.,1,3,LS23X632N,29,1,0,0,1,30,3.33,1,1.11,36.02,2422.35
2019,Michigan ,11,.,1,4,LS23X632N,12,0,3,1,4,16,25,2.25,18.75,25.44,1711.11
2019,Michigan ,11,.,1,1,LS23X632N,30,0,0,0,0,30,0,0,0,27.74,1865.39
2019,Michigan ,11,.,1,2,LS23X632N,20,0,0,0,0,20,0,0,0,21.75,1462.83
2019,Michigan ,11,.,3,2,3115L,21,1,6,2,9,30,30,2.11,21.11,73.04,4911.88
2019,Michigan ,11,.,3,4,3115L,26,0,3,1,4,30,13.33,2.25,10,78.47,5277.27
2019,Michigan ,11,.,3,1,3115L,30,0,0,0,0,30,0,0,0,61.07,4106.78
2019,Michigan ,11,.,3,3,3115L,30,0,0,0,0,30,0,0,0,72.7,4889.11
2019,Michigan ,11,.,4,4,WS16-9138,25,1,4,0,5,30,16.67,1.8,10,56.85,3823.26
2019,Michigan ,11,.,4,1,WS16-9138,30,0,0,0,0,30,0,0,0,46.76,3144.28
2019,Michigan ,11,.,4,2,WS16-9138,30,0,0,0,0,30,0,0,0,60.22,4049.54
2019,Michigan ,11,.,4,3,WS16-9138,30,0,0,0,0,30,0,0,0,60.36,4059.34
