Yr,Loc,Env,Plot,Trt,Rep,Cult,0,1,2,3,TotalSym,Total Plants ,DI%,DS,DIX,Yieldbushels,Yieldkg
2019,Arlington ,8,102,2,1,LS1172LLN,30,0,0,0,0,167,0,0,0,54.95,3695.52
2019,Arlington ,8,204,2,2,LS1172LLN,30,0,0,0,0,171,0,0,0,57.08,3838.84
2019,Arlington ,8,301,2,3,LS1172LLN,30,0,0,0,0,178,0,0,0,53.7,3611.49
2019,Arlington ,8,404,2,4,LS1172LLN,30,0,0,0,0,168,0,0,0,56.52,3800.84
2019,Arlington ,8,101,1,1,LS23X632N,30,0,0,0,0,11,0,0,0,6.31,424.38
2019,Arlington ,8,205,1,2,LS23X632N,30,0,0,0,0,12,0,0,0,13.71,921.79
2019,Arlington ,8,304,1,3,LS23X632N,30,0,0,0,0,8,0,0,0,0.46,30.66
2019,Arlington ,8,401,1,4,LS23X632N,30,0,0,0,0,4,0,0,0,0.61,41.15
2019,Arlington ,8,103,3,1,3115L,30,0,0,0,0,189,0,0,0,56.56,3803.36
2019,Arlington ,8,202,3,2,3115L,30,0,0,0,0,153,0,0,0,71.74,4824.58
2019,Arlington ,8,303,3,3,3115L,30,0,0,0,0,154,0,0,0,38.69,2601.96
2019,Arlington ,8,402,3,4,3115L,30,0,0,0,0,233,0,0,0,53.23,3579.74
2019,Arlington ,8,104,4,1,WS16-9138,30,0,0,0,0,236,0,0,0,43.86,2949.56
2019,Arlington ,8,201,4,2,WS16-9138,30,0,0,0,0,160,0,0,0,45.58,3065.16
2019,Arlington ,8,305,4,3,WS16-9138,30,0,0,0,0,191,0,0,0,39.04,2625.69
2019,Arlington ,8,403,4,4,WS16-9138,30,0,0,0,0,172,0,0,0,34.87,2344.77
2019,Nashua,12,103,5,1,1212R2X,30,0,0,0,0,30,0,0,0,72.27,4859.99
2019,Nashua,12,203,5,2,1212R2X,30,0,0,0,0,30,0,0,0,74.8,5030.13
2019,Nashua,12,303,5,3,1212R2X,30,0,0,0,0,30,0,0,0,70.88,4766.59
2019,Nashua,12,403,5,4,1212R2X,30,0,0,0,0,30,0,0,0,71.02,4775.91
2019,Nashua,12,101,2,1,LS1172LLN,30,0,0,0,0,30,0,0,0,49.39,3321.41
2019,Nashua,12,202,2,2,LS1172LLN,30,0,0,0,0,30,0,0,0,51.22,3444.36
2019,Nashua,12,305,2,3,LS1172LLN,30,0,0,0,0,30,0,0,0,50.49,3395.21
2019,Nashua,12,404,2,4,LS1172LLN,30,0,0,0,0,30,0,0,0,53.9,3624.63
2019,Nashua,12,105,1,1,LS23X632N,30,0,0,0,0,30,0,0,0,42.25,2841.03
2019,Nashua,12,205,1,2,LS23X632N,30,0,0,0,0,30,0,0,0,39.52,2657.39
2019,Nashua,12,302,1,3,LS23X632N,30,0,0,0,0,30,0,0,0,31.72,2133.34
2019,Nashua,12,401,1,4,LS23X632N,30,0,0,0,0,30,0,0,0,45.93,3088.67
2019,Nashua,12,104,3,1,3115L,30,0,0,0,0,30,0,0,0,69.38,4665.87
2019,Nashua,12,201,3,2,3115L,30,0,0,0,0,30,0,0,0,74.28,4995.57
2019,Nashua,12,301,3,3,3115L,30,0,0,0,0,30,0,0,0,67.65,4549.66
2019,Nashua,12,402,3,4,3115L,30,0,0,0,0,30,0,0,0,65.67,4416.26
2019,Nashua,12,102,4,1,WS16-9138,30,0,0,0,0,30,0,0,0,50.39,3388.53
2019,Nashua,12,204,4,2,WS16-9138,30,0,0,0,0,30,0,0,0,48.25,3244.82
2019,Nashua,12,304,4,3,WS16-9138,30,0,0,0,0,30,0,0,0,49.17,3306.51
2019,Nashua,12,405,4,4,WS16-9138,30,0,0,0,0,30,0,0,0,52.23,3512.5
2019,Stewertville,13,103,5,1,1212R2X,30,0,0,0,0,30,0,0,0,10.05,675.77
2019,Stewertville,13,203,5,2,1212R2X,30,0,0,0,0,30,0,0,0,44.63,3001.11
2019,Stewertville,13,303,5,3,1212R2X,30,0,0,0,0,30,0,0,0,36.72,2469.32
2019,Stewertville,13,403,5,4,1212R2X,30,0,0,0,0,30,0,0,0,37.11,2495.65
2019,Stewertville,13,101,2,1,LS1172LLN,30,0,0,0,0,30,0,0,0,13.42,902.68
2019,Stewertville,13,202,2,2,LS1172LLN,30,0,0,0,0,30,0,0,0,26.06,1752.74
2019,Stewertville,13,305,2,3,LS1172LLN,30,0,0,0,0,30,0,0,0,31.17,2096.17
2019,Stewertville,13,404,2,4,LS1172LLN,30,0,0,0,0,30,0,0,0,26.24,1764.33
2019,Stewertville,13,105,1,1,LS23X632N,30,0,0,0,0,30,0,0,0,9.52,640.29
2019,Stewertville,13,205,1,2,LS23X632N,30,0,0,0,0,30,0,0,0,32.71,2199.77
2019,Stewertville,13,302,1,3,LS23X632N,30,0,0,0,0,30,0,0,0,1.61,108.41
2019,Stewertville,13,401,1,4,LS23X632N,30,0,0,0,0,30,0,0,0,4.8,322.78
2019,Stewertville,13,104,3,1,3115L,30,0,0,0,0,30,0,0,0,61.5,4136.16
2019,Stewertville,13,201,3,2,3115L,30,0,0,0,0,30,0,0,0,38.08,2561.06
2019,Stewertville,13,301,3,3,3115L,30,0,0,0,0,30,0,0,0,42.57,2863.14
2019,Stewertville,13,402,3,4,3115L,30,0,0,0,0,30,0,0,0,30.26,2034.66
2019,Stewertville,13,102,4,1,WS16-9138,30,0,0,0,0,30,0,0,0,22.96,1544.08
2019,Stewertville,13,204,4,2,WS16-9138,30,0,0,0,0,30,0,0,0,21.73,1461.37
2019,Stewertville,13,304,4,3,WS16-9138,30,0,0,0,0,30,0,0,0,7.36,495.07
2019,Stewertville,13,405,4,4,WS16-9138,30,0,0,0,0,30,0,0,0,7.07,475.56
